Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,True Negatives,False Positives,False Negatives,True Positives
Logistic Regression,0.465,0.18867924528301888,0.4878048780487805,0.272108843537415,0.5065194048166897,73,86,21,20
Decision Tree,0.5,0.1827956989247312,0.4146341463414634,0.2537313432835821,0.49447768062586284,83,76,24,17
Random Forest,0.79,0.3333333333333333,0.024390243902439025,0.045454545454545456,0.49332719742291764,157,2,40,1
Gradient Boosting,0.78,0.2857142857142857,0.04878048780487805,0.08333333333333333,0.49179321981899066,154,5,39,2
XGBoost,0.555,0.14705882352941177,0.24390243902439024,0.1834862385321101,0.43764381040036815,101,58,31,10
Tuned Random Forest,0.67,0.14285714285714285,0.12195121951219512,0.13157894736842105,0.4825893541954287,129,30,36,5
