mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_class_weight,params,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy
0.609913682937622,0.01378056076286721,0.07792229652404785,0.0035922482211947445,200,2,2,sqrt,16,balanced,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 16, 'class_weight': 'balanced'}",0.0,0.0,0.0,0.030303030303030304,0.0,0.006060606060606061,0.012121212121212121,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.59228515625,0.610595703125,0.5910283941780005,0.5779050345979481,0.5585779050345979,0.5860784386371093,0.01724648105186903,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.011764705882352941,0.023529411764705882,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.4,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8,0.8,0.79375,0.8,0.78125,0.7949999999999999,0.007288689868556645,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.013396978378296,0.03633822239224051,0.10454106330871582,0.006567054287342213,300,5,1,,16,balanced,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 16, 'class_weight': 'balanced'}",0.0,0.0,0.0,0.06060606060606061,0.0,0.012121212121212121,0.024242424242424242,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.607177734375,0.60693359375,0.5989024099260319,0.5807683130517777,0.5118110236220472,0.5811186149449714,0.03595947476396955,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.11428571428571428,0.0,0.022857142857142857,0.045714285714285714,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.4,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7875,0.8,0.7875,0.80625,0.775,0.79125,0.010897247358851694,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.5847489833831787,0.04416017241681161,0.07393536567687989,0.0023628259940714547,200,10,2,log2,,,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'class_weight': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.31297709923664124,0.2748091603053435,0.3153846153846154,0.34615384615384615,0.36153846153846153,0.32217263652378153,0.029995668390242636,0.649169921875,0.5693359375,0.6232402767835838,0.4977332378907182,0.5581006919589597,0.5795160132016524,0.05294176136479614,5,0.999685058264221,0.9999700055489734,0.9998793363499247,0.9998340874811463,0.9995475113122172,0.9997831997912965,0.00014960548418542713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.47674418604651164,0.4311377245508982,0.47953216374269003,0.5142857142857142,0.5310734463276836,0.4865546469906995,0.03454715992764746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8,0.8,0.79375,0.79375,0.79375,0.79625,0.003061862178479016,4,0.859375,0.8515625,0.8609375,0.8671875,0.8703125,0.8618750000000001,0.006525191568069104
1.4634384155273437,0.015484977022793538,0.09687232971191406,0.0020453154324315175,300,2,4,,5,,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 5, 'class_weight': None}",0.0,0.0,0.0,0.030303030303030304,0.0,0.006060606060606061,0.012121212121212121,13,0.07633587786259542,0.0916030534351145,0.015384615384615385,0.1076923076923077,0.08461538461538462,0.07512624779800352,0.031599376408059286,0.625732421875,0.554931640625,0.6010498687664042,0.48317823908375085,0.518253400143164,0.5566291140986638,0.05219018771594355,17,0.9587576298384799,0.9577228212780635,0.9776018099547511,0.957209653092006,0.9538009049773756,0.9610185638281352,0.008456715601693152,0.0,0.0,0.0,0.05714285714285714,0.0,0.011428571428571429,0.022857142857142857,17,0.14184397163120568,0.16783216783216784,0.030303030303030304,0.19444444444444445,0.15602836879432624,0.1380903966010349,0.056593865691746084,0.0,0.0,0.0,0.5,0.0,0.1,0.2,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8,0.8,0.79375,0.79375,0.79375,0.79625,0.003061862178479016,4,0.8109375,0.8140625,0.8,0.81875,0.8140625,0.8115625,0.006296700524878071
0.7666850566864014,0.00326254561354694,0.09554224014282227,0.0016568638333079781,300,10,1,sqrt,5,balanced,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 5, 'class_weight': 'balanced'}",0.1875,0.15625,0.09090909090909091,0.21212121212121213,0.12121212121212122,0.15359848484848487,0.043726626971858785,3,0.8320610687022901,0.8091603053435115,0.8384615384615385,0.8076923076923077,0.7846153846153846,0.8143981209630065,0.01923768080090001,0.564208984375,0.569091796875,0.563827248866619,0.558577905034598,0.4989262705798138,0.550926441146206,0.026212209299434203,21,0.9773991811514869,0.9816433959717452,0.9823227752639518,0.9830015082956259,0.9649321266968326,0.9778597974759284,0.006752892974694062,0.2553191489361702,0.22727272727272727,0.12,0.2641509433962264,0.13333333333333333,0.20001523058769144,0.06125976936804615,2,0.8482490272373541,0.848,0.8685258964143426,0.8571428571428571,0.8063241106719368,0.8456483782932981,0.02104374207663541,0.4,0.4166666666666667,0.17647058823529413,0.35,0.14814814814814814,0.2982570806100218,0.11350279534256619,4,0.8650793650793651,0.8907563025210085,0.9008264462809917,0.9130434782608695,0.8292682926829268,0.8797947769650323,0.029790707462108667,0.78125,0.7875,0.725,0.75625,0.675,0.7450000000000001,0.04134458852135305,22,0.9390625,0.940625,0.9484375,0.9453125,0.9234375,0.9393750000000001,0.008637671850678286
1.1435832023620605,0.007397679647535644,0.0712061882019043,0.0013800274974624719,200,10,4,,5,balanced_subsample,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 5, 'class_weight': 'balanced_subsample'}",0.15625,0.21875,0.12121212121212122,0.21212121212121213,0.18181818181818182,0.17803030303030304,0.03615886949249391,1,0.8320610687022901,0.8549618320610687,0.8538461538461538,0.8307692307692308,0.8307692307692308,0.8404815032295948,0.011382917020585004,0.54931640625,0.57373046875,0.5554760200429492,0.5549988069673109,0.5263660224290145,0.551977544887855,0.015215707614339994,19,0.9777441173382924,0.983188110199613,0.9802714932126696,0.9868476621417798,0.9685218702865763,0.9793146506357863,0.006190576411995862,0.20408163265306123,0.2916666666666667,0.15384615384615385,0.2413793103448276,0.1875,0.21569475270214186,0.04730007617412857,1,0.8352490421455939,0.8853754940711462,0.8377358490566038,0.8744939271255061,0.8181818181818182,0.8502072261161338,0.025422667773823463,0.29411764705882354,0.4375,0.21052631578947367,0.28,0.1935483870967742,0.2831384699890143,0.08632123975067889,5,0.8384615384615385,0.9180327868852459,0.8222222222222222,0.9230769230769231,0.8059701492537313,0.8615527239799322,0.04928435534866248,0.75625,0.7875,0.725,0.725,0.675,0.73375,0.037416573867739396,24,0.9328125,0.9546875,0.9328125,0.9515625,0.925,0.9393750000000001,0.011625672023586402
0.34879217147827146,0.006747363479720101,0.053547334671020505,0.0019361746214447415,120,2,1,log2,12,,"{'n_estimators': 120, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 12, 'class_weight': None}",0.0,0.0,0.030303030303030304,0.0,0.0,0.006060606060606061,0.012121212121212121,13,0.9541984732824428,0.9770992366412213,0.9923076923076923,0.9846153846153847,0.9923076923076923,0.9801056958308866,0.01413037654138562,0.6123046875,0.607421875,0.5843474111190645,0.4860415175375805,0.5748031496062992,0.5729837281525889,0.04565854875901746,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.011764705882352941,0.023529411764705882,13,0.9765625,0.9884169884169884,0.9961389961389961,0.9922480620155039,0.9961389961389961,0.989901108542097,0.007258812083729517,0.0,0.0,1.0,0.0,0.0,0.2,0.4000000000000001,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8,0.8,0.8,0.79375,0.79375,0.7975000000000001,0.003061862178479016,1,0.990625,0.9953125,0.9984375,0.996875,0.9984375,0.9959374999999999,0.002898005779842403
0.8449200630187989,0.014037158222583968,0.10244369506835938,0.005000142561771434,300,5,4,sqrt,8,balanced,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 8, 'class_weight': 'balanced'}",0.03125,0.03125,0.0,0.06060606060606061,0.030303030303030304,0.03068181818181818,0.019170933169885707,6,0.9541984732824428,0.9694656488549618,0.9461538461538461,0.9692307692307692,0.9538461538461539,0.9585789782736349,0.009251514537352718,0.57861328125,0.562255859375,0.5769506084466716,0.5767120019088522,0.5170603674540681,0.5623184236869184,0.023388432509018467,15,0.9997000554897344,0.9999100166469203,0.9997134238310709,0.9999245852187029,0.9992307692307693,0.9996957700834395,0.0002509238006190338,0.058823529411764705,0.058823529411764705,0.0,0.1,0.046511627906976744,0.05283173734610123,0.03202431701202515,7,0.9765625,0.9844961240310077,0.9723320158102767,0.984375,0.9763779527559056,0.9788287185194381,0.004821407860593539,0.5,0.5,0.0,0.2857142857142857,0.1,0.27714285714285714,0.20376056376771923,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8,0.8,0.7625,0.775,0.74375,0.7762499999999999,0.021794494717703384,20,0.990625,0.99375,0.9890625,0.99375,0.990625,0.9915625,0.0018750000000000266
0.29001421928405763,0.006057298393355908,0.05041093826293945,0.0020679971071130483,120,10,2,log2,5,,"{'n_estimators': 120, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 5, 'class_weight': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.015267175572519083,0.007633587786259542,0.0,0.007692307692307693,0.0,0.006118614210217263,0.005715640135950255,0.58642578125,0.53662109375,0.6036745406824147,0.4753042233357194,0.5280362681937486,0.5460123814423766,0.04553931937813483,23,0.9519938811319905,0.9611271914695781,0.968371040723982,0.9542081447963802,0.9543740573152338,0.9580148630874328,0.006015576410023272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.03007518796992481,0.015151515151515152,0.0,0.015267175572519083,0.0,0.012098775738791808,0.011271824350007769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1.0,1.0,0.0,1.0,0.0,0.6,0.48989794855663565,0.8,0.8,0.79375,0.79375,0.79375,0.79625,0.003061862178479016,4,0.7984375,0.796875,0.796875,0.7984375,0.796875,0.7975,0.000765465544619754
0.7258637428283692,0.01109517060086069,0.09614205360412598,0.003013875774616652,300,5,1,log2,5,,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 5, 'class_weight': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.03816793893129771,0.015267175572519083,0.007692307692307693,0.023076923076923078,0.03076923076923077,0.02299471520845567,0.010812540063250834,0.61279296875,0.529541015625,0.6072536387497018,0.4800763540921022,0.5445001193032689,0.5548328193040145,0.04988444717300453,18,0.9802186595479836,0.9724650939576178,0.9874208144796379,0.9761236802413273,0.9766365007541478,0.9785729497961428,0.005060587500149309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.07352941176470588,0.03007518796992481,0.015267175572519083,0.045112781954887216,0.05970149253731343,0.044737209959870086,0.02067133042538237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8,0.8,0.79375,0.79375,0.79375,0.79625,0.003061862178479016,4,0.803125,0.7984375,0.7984375,0.8015625,0.803125,0.8009374999999999,0.002119478119726624
0.3912210464477539,0.0072800432381290095,0.049396705627441403,0.0010245798964195678,120,5,2,log2,5,balanced_subsample,"{'n_estimators': 120, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 5, 'class_weight': 'balanced_subsample'}",0.25,0.125,0.15151515151515152,0.12121212121212122,0.12121212121212122,0.15378787878787878,0.04942274675848512,2,0.8320610687022901,0.7938931297709924,0.8307692307692308,0.8076923076923077,0.823076923076923,0.8174985320023488,0.014647009371215138,0.564697265625,0.55908203125,0.5657361011691721,0.5363874970174184,0.5013123359580053,0.5454430462039191,0.024487047663216,24,0.9676659817933683,0.9838329908966841,0.9730618401206637,0.9841478129713424,0.9696530920060332,0.9756723435576184,0.007008247896746083,0.32653061224489793,0.18181818181818182,0.17857142857142858,0.1509433962264151,0.14285714285714285,0.19614415234361324,0.06692873330855137,3,0.8549019607843137,0.8455284552845529,0.8605577689243028,0.8677685950413223,0.8199233716475096,0.8497360303364003,0.016585949229465245,0.47058823529411764,0.3333333333333333,0.21739130434782608,0.2,0.17391304347826086,0.2790451832907076,0.11021619900680714,6,0.8790322580645161,0.9043478260869565,0.8925619834710744,0.9375,0.816793893129771,0.8860471921504637,0.03967360802727572,0.79375,0.775,0.7125,0.71875,0.7,0.74,0.03720719016534304,23,0.9421875,0.940625,0.9453125,0.95,0.9265625,0.9409375000000001,0.00786854894500886
0.7260612964630127,0.010717720539732247,0.09766054153442383,0.0021183385966808705,300,2,4,log2,5,,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 5, 'class_weight': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.007633587786259542,0.0,0.0,0.0,0.0,0.0015267175572519084,0.0030534351145038168,0.592529296875,0.552734375,0.6198997852541159,0.47029348604151755,0.5242185635886423,0.5519351013518551,0.05234746531118945,20,0.9669461149687308,0.9690757209916165,0.9804072398190045,0.9693212669683259,0.9594871794871794,0.9690475044469714,0.0067072346148049815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.015151515151515152,0.0,0.0,0.0,0.0,0.0030303030303030303,0.00606060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,0.8,0.8,0.79375,0.79375,0.79375,0.79625,0.003061862178479016,4,0.796875,0.7953125,0.796875,0.796875,0.796875,0.7965625000000001,0.0006250000000000089
0.3827735424041748,0.01645336953207914,0.05854368209838867,0.0048389208283380935,120,5,1,sqrt,16,balanced,"{'n_estimators': 120, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 16, 'class_weight': 'balanced'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.601806640625,0.572265625,0.5549988069673111,0.5347172512526843,0.5695538057742782,0.5666684259238547,0.022051783402807026,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8,0.8,0.7875,0.79375,0.7875,0.7937500000000001,0.005590169943749505,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
